--------------------------------------------------
Confusion matrix for Fold 1, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
B-LOC_ADJ,0,0,0,0,0,1,738,2,0,0,0,19,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
B-LOC_NAME,0,0,0,0,0,0,8,274,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21
B-None,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,0,0,0,0,0,0
B-PER_ATTR,608,0,0,0,0,0,0,0,0,0,752,0,52,0,0,93,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,500
B-PER_NAME,3,0,0,0,0,0,0,541,0,0,0,2186,12,128,34,37,0,0,0,0,0,0,0,0,0,0,0,385,14,38,0,0,384
B-PRF,0,0,0,0,0,0,0,0,0,0,0,316,48,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
B-SHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
B-SHIP_TYPE,5,0,0,0,0,0,0,428,0,0,0,15,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
B-STATUS,39,0,0,0,0,0,0,0,0,0,153,15,48,0,0,1749,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,958
