--------------------------------------------------
Confusion matrix for Fold 1, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
--------------------------------------------------
Confusion matrix for Fold 3, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_3598_0797-0809 - 1781 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
B-CMTY_NAME,2560,48,45,0,0,0,0,0,0,0,497,0,0,520,23,0,36,0,0,0,0,0,0,30,0,0,12,95,0,0,0,0,1477
B-CMTY_QUAL,258,53,0,0,0,0,0,20,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,382
B-CMTY_QUANT,0,0,4189,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1194
B-DATE,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360
B-DOC,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ETH_REL,0,0,0,0,0,0,290,0,0,0,0,74,0,32,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
B-LOC_ADJ,0,0,0,0,0,0,655,8,0,0,0,0,96,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
B-LOC_NAME,0,0,0,0,0,0,0,258,0,0,0,8,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,10,0,0,0,0,0
B-None,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ORG,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
B-PER_ATTR,0,0,0,0,0,0,0,0,0,0,232,0,205,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143
B-PER_NAME,0,0,0,0,0,0,31,228,0,0,0,2639,12,125,0,15,0,0,0,15,0,0,0,8,0,0,0,435,0,0,0,0,169
B-PRF,0,0,0,0,0,0,0,0,0,0,16,285,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
B-SHIP,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
B-SHIP_TYPE,0,0,0,0,0,0,0,401,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
B-STATUS,0,0,0,0,0,0,0,0,0,0,31,15,601,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1218
I-CMTY_NAME,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
I-CMTY_QUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
I-CMTY_QUANT,202,26,63,0,0,12,0,0,0,16,12,15,32,32,0,0,28,0,4849,0,0,0,0,0,0,0,80,30,0,0,0,0,4610
I-DATE,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,37,0,0,0,0,34
I-DOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
