--------------------------------------------------
Confusion matrix for Fold 1, Test File: p_80-ner-event-preanno_NL-HaNA_1.04.02_11012_0229-0251 - 1736 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
B-ORG,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,31,0,0,0,0,0,0,0
B-PER_ATTR,0,0,0,0,0,0,0,0,0,0,920,0,8,0,0,98,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1013
B-PER_NAME,0,0,0,0,0,0,29,237,0,0,0,3033,1,0,0,25,0,0,0,2,0,0,0,0,0,0,0,316,0,0,0,0,119
B-PRF,0,0,0,0,0,0,0,0,0,0,0,369,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-SHIP,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
B-SHIP_TYPE,0,0,0,0,1,0,0,87,0,0,0,5,44,0,528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B-STATUS,0,0,0,0,0,0,0,0,0,0,52,15,595,0,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
I-CMTY_NAME,512,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
I-CMTY_QUAL,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4
I-CMTY_QUANT,108,95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5155,0,0,0,0,0,0,0,0,0,0,0,0,0,5096
I-DATE,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,38
I-DOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ETH_REL,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC_ADJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-LOC_NAME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0
I-ORG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0,0
I-PER_ATTR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,28
I-PER_NAME,0,0,0,0,0,0,0,41,0,0,27,464,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,2133,0,0,0,0,150
I-PRF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-SHIP,0,0,0,0,0,0,0,0,0,0,33,41,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
I-SHIP_TYPE,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,47
I-STATUS,0,0,0,0,0,0,0,0,0,0,34,0,0,0,30,754,0,0,0,0,0,0,0,0,0,0,38,15,6,0,19,0,129
O,99,24,211,44,0,0,0,0,0,5,0,31,2,0,0,30,0,0,254,499,0,0,0,0,0,6,0,0,0,0,0,0,35336



--------------------------------------------------
Confusion matrix for Fold 4, Test File: p_80-ner-event-peranno_NL-HaNA_1.04.02_2693_0117-0119 - 1747 -
--------------------------------------------------

,B-CMTY_NAME,B-CMTY_QUAL,B-CMTY_QUANT,B-DATE,B-DOC,B-ETH_REL,B-LOC_ADJ,B-LOC_NAME,B-None,B-ORG,B-PER_ATTR,B-PER_NAME,B-PRF,B-SHIP,B-SHIP_TYPE,B-STATUS,I-CMTY_NAME,I-CMTY_QUAL,I-CMTY_QUANT,I-DATE,I-DOC,I-ETH_REL,I-LOC_ADJ,I-LOC_NAME,I-None,I-ORG,I-PER_ATTR,I-PER_NAME,I-PRF,I-SHIP,I-SHIP_TYPE,I-STATUS,O
